type,lat,lon
stop,50.0654714,14.5363842
stop,50.0613866,14.5361415
stop,50.0622955,14.5346235
stop,50.0685159,14.5168538
stop,50.0940756,14.5459681
stop,50.0978041,14.548876
stop,50.1021144,14.5546277
stop,50.1053652,14.5568982
stop,50.1031791,14.549036
stop,50.1062936,14.5415879
stop,50.1050836,14.532603
stop,50.1088542,14.5312446
stop,50.1104754,14.5103681
stop,50.1108943,14.5049526
stop,50.0720247,14.5008796
stop,50.0724896,14.490735
stop,50.0721577,14.4843253
stop,50.0737609,14.4783616
stop,50.0736777,14.4724127
stop,50.0796564,14.4727937
stop,50.0817691,14.4717282
stop,50.0841885,14.4697299
stop,50.0857873,14.4357995
stop,49.53473,14.64427
stop,50.1228563,14.4005801
stop,50.2455317,18.7442474
stop,48.5740842,17.3982837
stop,50.8780163,12.8066838
stop,50.8599247,16.313829
stop,50.9636037,13.420175
stop,49.5163449,17.0926966
stop,49.5135964,17.0993926
stop,49.5309217,17.1018968
stop,49.5151859,17.1030839
stop,49.5165027,17.0919625
stop,50.0666598,17.304444
stop,50.0803186,14.4886418
stop,50.0810233,14.495294
stop,50.0817333,14.5005072
stop,50.0777175,14.5105784
stop,50.9907327,13.6822834
stop,49.8206216,18.2699639
stop,49.0104553,12.1345169
stop,49.8334399,18.1762914
stop,49.52361,14.57592
stop,49.5327,14.60986
stop,49.8593758,18.3304535
stop,50.8855267,12.8005323
stop,50.8057572,12.7433025
stop,50.8114428,12.7246066
stop,48.8752994,16.2364458
stop,49.5214634,14.5221872
stop,50.1013812,14.5027071
stop,50.0994402,14.4966314
stop,50.0939975,14.4963329
stop,50.0846852,14.5109076
stop,50.0832403,14.5086252
stop,50.0724458,14.508035
stop,50.0774781,14.5381348
stop,50.0629653,14.5374669
stop,50.0602942,14.5065255
stop,50.0644942,14.5050107
stop,49.435819,12.9197936
stop,49.8222301,18.158548
stop,49.82556,18.1563745
stop,49.8255368,18.1569078
stop,50.5501095,12.7647664
stop,51.0277284,13.7771998
stop,50.8341657,15.6833829
stop,50.9585362,13.8428699
stop,50.9569606,13.8331456
stop,50.8388532,13.2963059
stop,50.5343593,12.7723151
stop,50.8052641,12.6423785
stop,50.0291953,14.4052941
stop,50.0280665,14.4056516
stop,50.0290733,14.4060523
stop,50.0544377,14.4181065
stop,50.0477063,14.4143414
stop,50.7154962,12.4969498
stop,49.4883114,15.7200433
stop,50.8364151,13.3701305
stop,49.5133856,15.6892955
stop,49.5132336,15.6900789
stop,49.5173077,15.6816357
stop,49.5178459,15.6809522
stop,49.5420761,15.6579944
stop,49.5422386,15.65812
stop,49.5420503,15.6535075
stop,49.5419404,15.6536143
stop,49.5480962,15.63005
stop,49.5480605,15.6299782
stop,50.5258503,12.7890974
stop,50.8738875,14.7742469
stop,49.5629286,15.6217408
stop,49.5628499,15.6216621
stop,49.5781612,15.6064326
stop,49.5781948,15.6062905
stop,49.5826417,15.6010365
stop,49.5826568,15.6007318
stop,50.8882508,12.4393928
stop,50.8985829,12.4971056
stop,49.5089274,15.5989421
stop,50.8646062,14.7599713
stop,50.8953978,14.8431149
stop,50.7722542,12.6244172
stop,50.7621851,12.6271733
stop,48.5953896,17.4022656
stop,48.5958245,17.4029262
stop,50.2586908,14.515077
stop,50.2590865,14.5140739
stop,50.252799,14.5196606
stop,50.2526496,14.5193962
stop,50.2547439,14.5121098
stop,50.2546585,14.5118487
stop,50.2556658,14.4967789
stop,50.2367436,14.4946976
stop,50.1950471,14.4963456
